, last updated, última actualización
404 Page Not Found,404 - Página no encontrada
A short description for this row,Una breve descripción para esta fila
A short, quotable line.,Una frase corta y memorable.
Account Information,Información de cuenta
Address,Dirección
Already have an account?,¿Ya tienes una cuenta?
Auto matches the item count, capped at 4.,Se ajusta automáticamente al conteo de ítems, máximo 4.
Billing Address,Dirección de facturación
Catalog, Search,Catálogo, Búsqueda
Change,Cambiar
Checkout,Finalizar compra
City,Ciudad
Contact information,Información de contacto
Continue shopping,Continuar comprando
Continue Shopping,Continuar Comprando
Country,País
Country is required,El país es obligatorio
Create an account,Crear una cuenta
Default uses the theme,Usa el tema por defecto
Defaults to the picked collection,Por defecto usa la colección seleccionada
Discount,Descuento
e.g. ,p. ej.
e.g., 10.00,p. ej., 10.00
e.g., EU, US-West,p. ej., EU, US-West
e.g., Express,p. ej., Exprés
e.g., FEDEX_GROUND, usps_priority,p. ej., FEDEX_GROUND, usps_priority
Email,Correo electrónico
Enter coupon code,Ingresar código de cupón
Flat rate in cart currency, tax-exclusive.,Tarifa fija en la moneda del carrito, sin impuestos.
Forgot your password?,¿Olvidaste tu contraseña?
Give Feedback,Dar Opinión
Leave empty to use the product,Dejar vacío para usar el producto
Linen, cotton, easy stuff.,Lino, algodón, cosas sencillas.
Login,Iniciar sesión
Made by hand, in small batches,Hecho a mano, en pequeños lotes.
Min 1, max 12.,Mín. 1, máx. 12.
Min 1, max 8.,Mín. 1, máx. 8.
My Account,Mi cuenta
No providers attached. Click ,No hay proveedores asociados. Haz clic
Optional. Defaults to ,Opcional. Por defecto
Optional. Shown under the row heading.,Opcional. Se muestra bajo el título de la fila.
Order,Pedido
Order summary,Resumen del pedido
Page, category, product, or a custom URL.,Página, categoría, producto o URL personalizada.
Password,Contraseña
Payment Method,Método de pago
Place Order,Realizar pedido
Postcode,Código postal
Postcode is required,El código postal es obligatorio
Price,Precio
Product,Producto
Province,Provincia / Estado
Quantity,Cantidad
Remove,Eliminar
Search for products, orders, and other resources,Buscar productos, pedidos y otros recursos
Shipment,Envío
Shipping,Envío
Shipping Address,Dirección de envío
Sign In,Iniciar sesión
Sku,SKU
Small all-caps label above the heading. E.g. ,Etiqueta en mayúsculas sobre el título. P. ej.
Small all-caps label. E.g. ,Etiqueta en mayúsculas. P. ej.
Take our survey,Completar encuesta
Tax,Impuesto
The page you requested does not exist.,La página que solicitaste no existe.
There is no ,No hay
to a storefront route,a una ruta de la tienda
Total,Total
Urgency line. Optional. E.g. ,Línea de urgencia. Opcional. P. ej.
We could not find this order. It may have been removed, or it may belong to a different account.,No encontramos este pedido. Es posible que haya sido eliminado o que pertenezca a otra cuenta.
We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.,No pudimos verificar este enlace. Si lo recibiste en un correo nuestro, por favor intenta de nuevo con el mensaje más reciente o inicia sesión en tu cuenta.
Where you ship, shipping methods and delivery fee,Zonas de envío, métodos y tarifa de entrega
"Describe the product: materials, sizes, certifications, usage…","Describe el producto: materiales, tallas, certificaciones, uso…"
This text is shown on the product detail page seen by customers.,Este texto se muestra en la página de detalle del producto que ve el cliente.
